w,l,wl,srs_adj,sos_adj,ap_pre,ap_high,ap_final,adj_ncaa
14,11,0.56,21.88,0,0,0,0,0
18,7,0.72,26.57,0.22,0,0,0,0
17,8,0.68,28.02,0.97,0,0,0,0
15,11,0.577,32.91,1.77,0,0,0,0
11,13,0.458,18.88,1.87,0,0,0,0
15,9,0.625,22.58,1.93,0,0,0,0
12,12,0.5,17.67,2.02,0,0,0,0
3,20,0.13,9.87,2.63,0,0,0,0
16,9,0.64,28.55,2.66,0,0,0,0
6,11,0.353,11.26,3.38,0,0,0,0
13,13,0.5,24.84,4.79,0,0,0,0
11,7,0.611,31.93,4.82,0,0,0,0
2,17,0.105,3.46,5.13,0,0,0,0
11,17,0.393,24.67,5.27,0,0,0,0
7,17,0.292,17.72,5.81,0,0,0,0
10,10,0.5,28.92,5.87,0,0,0,0
2,24,0.077,10.52,6.07,0,0,0,0
15,13,0.536,32.24,6.62,0,0,0,0
13,10,0.565,27.64,6.82,0,0,0,0
18,9,0.667,31.14,6.87,0,0,0,0
7,14,0.333,23.67,6.89,0,0,0,0
11,12,0.478,23.51,6.96,0,0,0,0
15,9,0.625,27.07,7.05,0,0,0,0.26
16,13,0.552,30.76,7.13,0,0,0,0
10,15,0.4,22.47,7.36,0,0,0,0
3,20,0.13,4.14,7.39,0,0,0,0
10,19,0.345,24.84,7.4,0,0,0,0
15,8,0.652,31.85,7.49,0,0,0,0
7,19,0.269,22.98,7.53,0,0,0,0
9,12,0.429,22.32,7.62,0,0,0,0
16,8,0.667,33.75,7.63,0,0,0,0
13,10,0.565,23.39,7.67,0,0,0,0
1,22,0.043,8.21,7.74,0,0,0,0
10,18,0.357,24.66,7.78,0,0,0,0
12,12,0.5,18.36,7.81,0,0,0,0
2,25,0.074,6.37,7.82,0,0,0,0
18,9,0.667,33.95,7.9,0,0,0,0
10,17,0.37,24.01,7.96,0,0,0,0
14,15,0.483,31.17,7.97,0,0,0,0
11,16,0.407,27.46,8.02,0,0,0,0
18,11,0.621,29.75,8.05,0,0,0,0
11,18,0.379,23.24,8.09,0,0,0,0
12,16,0.429,23.5,8.26,0,0,0,0
10,13,0.435,29.26,8.26,0,0,0,0
21,10,0.677,32.73,8.28,0,0,0,0.26
19,13,0.594,30.76,8.31,0,0,0,0
11,12,0.478,26.18,8.33,0,0,0,0
12,7,0.632,35.08,8.39,0,0,0,0
22,7,0.759,38.26,8.4,0,0,0,0
0,17,0,1.32,8.44,0,0,0,0
10,17,0.37,22.95,8.44,0,0,0,0
16,14,0.533,31.27,8.51,0,0,0,0
21,7,0.75,36.8,8.54,0,0,0,0
3,18,0.143,18.32,8.65,0,0,0,0
8,19,0.296,22.28,8.69,0,0,0,0
13,9,0.591,31.5,8.72,0,0,0,0
2,19,0.095,13.34,8.79,0,0,0,0
22,9,0.71,35.15,8.85,0,0,0,0.26
8,15,0.348,22.51,8.87,0,0,0,0
4,16,0.2,9.69,8.97,0,0,0,0
10,18,0.357,26.52,8.97,0,0,0,0
14,11,0.56,30.69,9.01,0,0,0,0
15,14,0.517,31.36,9.01,0,0,0,0
13,13,0.5,32.21,9.02,0,0,0,0
14,15,0.483,28.48,9.08,0,0,0,0
8,17,0.32,26,9.1,0,0,0,0
18,10,0.643,26.49,9.14,0,0,0,0
8,15,0.348,30.11,9.14,0,0,0,0
12,14,0.462,24.02,9.18,0,0,0,0
11,17,0.393,22.57,9.19,0,0,0,0
11,19,0.367,21.53,9.23,0,0,0,0
11,15,0.423,27.22,9.23,0,0,0,0
12,11,0.522,22.45,9.24,0,0,0,0
16,7,0.696,36.41,9.24,0,0,0,0
11,16,0.407,23.76,9.25,0,0,0,0
14,16,0.467,25.48,9.25,0,0,0,0
4,24,0.143,16.57,9.26,0,0,0,0
9,20,0.31,26.51,9.26,0,0,0,0
14,9,0.609,30.95,9.26,0,0,0,0
6,17,0.261,19.75,9.31,0,0,0,0
16,13,0.552,29.88,9.33,0,0,0,0
10,13,0.435,19.16,9.34,0,0,0,0
8,14,0.364,23.1,9.36,0,0,0,0
8,19,0.296,26.2,9.38,0,0,0,0
22,8,0.733,38.75,9.38,0,0,0,0.26
21,8,0.724,41.49,9.38,0,0,0,0
8,16,0.333,23.11,9.4,0,0,0,0
13,13,0.5,29.86,9.43,0,0,0,0
16,9,0.64,33.55,9.43,0,0,0,0
19,10,0.655,33.46,9.47,0,0,0,0
14,15,0.483,30.17,9.48,0,0,0,0
22,8,0.733,35.35,9.5,0,0,0,0
6,19,0.24,23.32,9.53,0,0,0,0
12,15,0.444,26.21,9.53,0,0,0,0
14,10,0.583,29.44,9.53,0,0,0,0
14,15,0.483,28.03,9.55,0,0,0,0
22,7,0.759,39.62,9.55,0,0,0,0
14,14,0.5,28,9.57,0,0,0,0
19,9,0.679,32.7,9.58,0,0,0,0
10,16,0.385,26.98,9.59,0,0,0,0
14,12,0.538,28.28,9.59,0,0,0,0
7,21,0.25,16.53,9.65,0,0,0,0
7,15,0.318,17.31,9.65,0,0,0,0
12,16,0.429,31.01,9.68,0,0,0,0
9,18,0.333,20.45,9.69,0,0,0,0
7,21,0.25,20.96,9.71,0,0,0,0
14,12,0.538,26.89,9.71,0,0,0,0
12,17,0.414,28.85,9.71,0,0,0,0
9,15,0.375,19.93,9.72,0,0,0,0
9,18,0.333,23.23,9.72,0,0,0,0
18,9,0.667,34.85,9.74,0,0,0,0
19,10,0.655,35.04,9.75,0,0,0,0
20,11,0.645,36.28,9.76,0,0,0,0
7,22,0.241,23.21,9.77,0,0,0,0
22,8,0.733,36.26,9.79,0,0,0,0.26
9,19,0.321,26.1,9.84,0,0,0,0
20,6,0.769,31.85,9.85,0,0,0,0
19,9,0.679,40.57,9.86,0,0,0,0
3,25,0.107,17.51,9.88,0,0,0,0
7,20,0.259,22.03,9.9,0,0,0,0
16,16,0.5,33.84,9.9,0,0,0,0.26
16,13,0.552,31,9.93,0,0,0,0
10,17,0.37,28.18,9.95,0,0,0,0
12,15,0.444,31.83,9.96,0,0,0,0
12,11,0.522,26.44,9.97,0,0,0,0
15,13,0.536,28.92,9.97,0,0,0,0
22,7,0.759,35.54,9.99,0,0,0,0
6,16,0.273,21.77,10,0,0,0,0
9,15,0.375,22.48,10,0,0,0,0
13,14,0.481,28.05,10,0,0,0,0
11,10,0.524,22.28,10.01,0,0,0,0
12,17,0.414,27.85,10.02,0,0,0,0
11,11,0.5,28.44,10.02,0,0,0,0
20,5,0.8,43.73,10.02,0,0,0,0
7,19,0.269,20.52,10.05,0,0,0,0
10,18,0.357,24.72,10.05,0,0,0,0
12,8,0.6,34.23,10.05,0,0,0,0
7,13,0.35,6,10.08,0,0,0,0
4,17,0.19,16.19,10.08,0,0,0,0
12,8,0.6,36.18,10.08,0,0,0,0
14,14,0.5,31.13,10.1,0,0,0,0
8,19,0.296,23.66,10.11,0,0,0,0
13,15,0.464,27.45,10.11,0,0,0,0
14,11,0.56,27.63,10.15,0,0,0,0
8,18,0.308,15.21,10.16,0,0,0,0
7,21,0.25,23.79,10.16,0,0,0,0
13,16,0.448,28.2,10.17,0,0,0,0
7,22,0.241,21.77,10.22,0,0,0,0
19,9,0.679,36.97,10.22,0,0,0,0
8,20,0.286,23.79,10.24,0,0,0,0
24,6,0.8,43.35,10.26,0,0,0,0.26
16,13,0.552,32,10.3,0,0,0,0
14,15,0.483,32.18,10.31,0,0,0,0
11,17,0.393,20.06,10.33,0,0,0,0
4,21,0.16,20.88,10.33,0,0,0,0
16,14,0.533,28.22,10.35,0,0,0,0
19,9,0.679,36.11,10.36,0,0,0,0.26
19,10,0.655,35.68,10.37,0,0,0,0
13,12,0.52,36.76,10.37,0,0,0,0
5,17,0.227,18.04,10.38,0,0,0,0
6,23,0.207,12.11,10.39,0,0,0,0
