w,l,wl,srs_adj,sos_adj,pts_for,pts_vs,pts_total,ap_pre_adj,ap_high_adj,ap_final_adj,pts_diff_adj,ncaa_adj
32,9,0.78,53.8,24.88,72.4,64.9,137.3,0,0.9,0.733,34.2,1
32,8,0.8,53.08,23.07,71.8,63.2,135,0.433,0.733,0.433,35.3,1
30,5,0.857,54.87,23.46,79.6,69.6,149.2,0,0.667,0.6,36.7,1
25,9,0.735,57.45,25.42,83.9,73.3,157.2,0.4,0.833,0.533,37.3,1
35,4,0.897,58.8,24.29,80.1,67,147.1,0.767,0.9,0.867,39.8,1
32,4,0.889,59.35,23.82,85,70.9,155.9,0.967,0.967,0.9,40.8,1
35,5,0.875,59.93,24.15,78,63.6,141.6,0.667,1,0.833,41.1,1
33,6,0.846,56.06,19.93,78.3,63.5,141.8,0,0.967,0.667,41.5,1
33,6,0.846,58.49,22.21,78.8,63.9,142.7,1,1,0.8,41.6,1
35,4,0.897,60.82,24.31,79.3,64.2,143.5,0.9,0.967,0.9,41.8,1
32,7,0.821,60.89,24.35,74.1,58.9,133,0.933,0.967,0.967,41.9,1
35,5,0.875,60.66,23.57,74.5,58.8,133.3,0.967,1,0.967,42.4,1
34,2,0.944,60.59,23.24,77.3,61.3,138.6,0.967,1,0.933,42.7,1
35,5,0.875,61.06,23.65,77,61,138,0.733,0.933,0.933,42.7,1
38,2,0.95,60.58,22.37,77.4,60.6,138,0.967,1,1,43.5,1
35,5,0.875,59.67,21.78,79.8,62.6,142.4,1,1,0.933,43.9,1
33,4,0.892,64.27,25.1,88,70.3,158.3,0.9,0.967,0.967,44.4,1
34,4,0.895,61.31,22.79,89.8,72,161.8,1,1,0.967,44.5,1
37,3,0.925,62.75,22.64,80.5,61.5,142,0.9,0.967,0.9,45.7,1
35,4,0.897,68.03,26.42,90.7,70.5,161.2,0.967,1,1,46.9,1
34,2,0.944,67.99,24.5,91.4,69.4,160.8,1,1,0.967,48.7,1
28,10,0.737,47.38,19.46,71.2,64.1,135.3,0.467,0.5,0,33.8,0.866
29,9,0.763,54.84,25.79,76.2,68.6,144.8,0,0.667,0.533,34.3,0.866
25,12,0.676,55.04,26.52,70.5,62.6,133.1,0.3,0.367,0,34.6,0.866
29,11,0.725,53.92,24.34,74.8,66.6,141.4,1,1,0,34.9,0.866
31,7,0.816,53.56,23.81,72,63.7,135.7,0.833,0.867,0.767,35,0.866
32,7,0.821,53.19,22.71,67.7,58.7,126.4,0.4,0.8,0.8,35.7,0.866
33,5,0.868,50.22,19.52,68.7,59.4,128.1,0.667,0.667,0.667,36,0.866
28,10,0.737,56.51,25.65,76.6,67.2,143.8,0,0.933,0.567,36.1,0.866
32,7,0.821,57.57,24.37,73.5,61.7,135.2,0.6,0.933,0.833,38.5,0.866
31,8,0.795,57.13,24.49,75.2,63.3,138.5,0.867,1,0.7,38.6,0.866
30,4,0.882,52.91,19.31,70,57.6,127.6,0.5,0.933,0.8,39.1,0.866
35,4,0.897,57.39,23.47,74.5,62,136.5,0.8,1,1,39.2,0.866
33,7,0.825,59.29,25.13,82.8,70,152.8,1,1,0.933,39.5,0.866
36,4,0.9,60.46,24.73,72.5,58.2,130.7,0.933,0.967,0.933,41,0.866
29,8,0.784,59.33,22.95,83.8,68.9,152.7,0.767,0.833,0.6,41.6,0.866
28,8,0.778,62.69,27,81.3,66.3,147.6,1,1,0.867,41.7,0.866
30,8,0.789,60.85,24.97,82.7,66.9,149.6,0.967,0.967,0.833,42.5,0.866
37,2,0.949,59.95,22.91,77,61.1,138.1,0.867,1,1,42.6,0.866
38,2,0.95,59.58,20.2,79.9,61.9,141.8,0.933,1,0.967,44.7,0.866
35,5,0.875,65.08,23.64,83.1,62.8,145.9,0.933,0.933,0.867,47,0.866
37,2,0.949,70.65,24.58,91.8,67.2,159,1,1,1,51.3,0.866
22,14,0.611,52.52,26.94,59.9,55.8,115.7,0,0,0,30.8,0.741
28,12,0.7,44.41,18.22,71.6,66.8,138.4,0,0,0,31.5,0.741
23,14,0.622,50.47,24.19,70,65.1,135.1,0,0.567,0,31.6,0.741
22,14,0.611,52.85,26.24,75.4,70.2,145.6,0.833,0.967,0,31.9,0.741
30,10,0.75,52.04,23.46,68.2,61,129.2,0.733,0.9,0.467,33.9,0.741
26,8,0.765,52.05,23.17,73.1,65.6,138.7,0.733,0.767,0.4,34.2,0.741
27,12,0.692,53.31,24.44,71.1,63.6,134.7,0.433,0.433,0.267,34.2,0.741
28,9,0.757,51.18,22.61,71.8,63.8,135.6,0.967,0.967,0.6,34.7,0.741
30,9,0.769,50.53,20.53,69.7,61.2,130.9,0,0.533,0,35.2,0.741
29,8,0.784,55.61,25.58,79.7,71.1,150.8,0.767,1,0.8,35.3,0.741
31,7,0.816,55.01,24.7,72.4,63.5,135.9,0.767,0.867,0.833,35.6,0.741
27,6,0.818,52.13,21.72,78.5,69.5,148,0.433,0.767,0.733,35.7,0.741
27,9,0.75,53.39,23.21,73.1,63.9,137,0,0.433,0.4,35.9,0.741
27,8,0.771,47.96,17.21,69.4,60.1,129.5,0,0,0,36,0.741
30,8,0.789,53.3,23.16,76.8,67.4,144.2,0.267,0.7,0.667,36.1,0.741
30,8,0.789,55.54,24.63,73.5,64,137.5,0.367,0.933,0.633,36.2,0.741
26,7,0.788,54.76,23.71,79.3,69.7,149,0.9,0.967,0.867,36.3,0.741
27,9,0.75,54.87,23.95,74.9,64.8,139.7,0,0.7,0.567,36.8,0.741
28,7,0.8,58.65,26.53,77.4,66.7,144.1,0.767,0.9,0.9,37.4,0.741
30,7,0.811,55.47,23.92,69.1,58,127.1,0.767,0.767,0.767,37.8,0.741
29,9,0.763,56.15,23.35,74.9,63.5,138.4,0.667,0.767,0.667,38.1,0.741
30,6,0.833,56.75,24.28,69.5,57.8,127.3,0.833,1,0.8,38.4,0.741
